item,item_transitivity,gesturer,subject,sentence,verb,sentence_transitivity
light-turn-on-IN,0,ip,2,An object floats down then pops in the air,"float,pop",0.0
ball-drop-IN,0,rv,14,An elevated object flops down and bounces once to the side.,"flop,bounce",0.0
lid-blow-off-IN,0,np,26,Water flowing in a river.,flow,0.0
cards-scatter-IN,0,cs,16,Water is flowing from a shower head.,flow,0.0
lid-blow-off-IN,0,np,16,Something is flowing from a container.,flow,0.0
whirly-gig-drop-IN,0,ip,70,An object flows straight down.,flow,0.0
fizzle-down-IN,0,np,70,An object flows down a drain.,flow,0.0
fizzle-down-IN,0,ho,15,An orange has juice flowing out from it.,flow,0.0
ball-drop-IN,0,cs,15,A rush of water flows out of a pipe.,flow,0.0
lid-blow-off-IN,0,np,18,Water is flowing in waves.,flow,0.0
paper-airplane-land-IN,0,cm,14,An object flows to the left and downward.,flow,0.0
ball-roll-IN,0,cs,71,The river flows downstream.,flow,0.0
push-button-microwave-TR,1,np,71,A stream of water flows out in a spiral.,flow,0.0
light-candle-TR,1,cm,13,Bubbles flowing from the top of a can.,flow,0.0
push-button-microwave-TR,1,np,16,A man is flushing a toilet.,flush,1.0
bread-spin-IN,0,np,80,A toilet is flushing.,flush,0.0
ball-roll-IN,0,cs,6,an object flutters across another object,flutter,0.0
fan-turn-IN,0,cm,6,an object fluttering,flutter,0.0
fizzle-down-IN,0,rv,84,An object flutters down from the sky,flutter,0.0
spray-shaving-cream-TR,1,cs,87,A butterfly flutters towards a flower for food.,flutter,0.0
toy-crawl-IN,0,cs,14,An object flutters upward and to the right.,flutter,0.0
paper-drop-IN,0,rv,14,A willowy object flutters slowly downward in a back and forth motion.,flutter,0.0
fizzle-down-IN,0,rv,2,An object flutters down to the ground,flutter,0.0
whirly-gig-drop-IN,0,rv,42,Maple seeds flutter to the ground.,flutter,0.0
paper-drop-IN,0,rv,71,Fall leaves flutter to the ground.,flutter,0.0
paper-drop-IN,0,cm,71,A leaf flutters to the ground.,flutter,0.0
tape-measurer-bend-half-IN,0,rv,70,An airborne object flutters and falls down.,"flutter,fall",0.0
paper-drop-IN,0,ho,14,A papery object flutters downward and lands on a flat surface.,"flutter,land",0.0
balloon-deflate-IN,0,np,70,Two separate objects flutter closer to each other and then merge.,"flutter,merge",0.0
cards-scatter-IN,0,cm,14,An object flutters in repeated gyrations as it moves off and separates into two.,"flutter,move,separate",0.0
paper-drop-IN,0,cs,71,Streamers flutter as party guests walk through them.,"flutter,walk",0.0
ball-roll-IN,0,cm,26,Animal flying in the air.,fly,0.0
fan-turn-IN,0,ho,26,A propelor plane flying.,fly,0.0
cards-scatter-IN,0,cm,26,Objects flying away in the wind.,fly,0.0
pull-out-measuring-tape-TR,1,ip,26,Object flying from a cannon.,fly,0.0
fan-turn-IN,0,np,26,A plane with a propelor flying.,fly,0.0
lid-blow-off-IN,0,ip,26,Object flying from a gust of wind.,fly,0.0
paper-airplane-land-IN,0,np,26,Plane flying into a lake.,fly,0.0
turn-fan-TR,1,cs,26,A bee flying off a flower.,fly,0.0
lid-blow-off-IN,0,rv,12,A paper flies off a stack of papers,fly,0.0
toy-crawl-IN,0,cs,12,A bat flies through the sky,fly,0.0
take-keys-out-of-box-TR,1,rv,12,A bug flies into the air from the ground,fly,0.0
lid-blow-off-IN,0,np,12,A hummingbird flies away from a flower,fly,0.0
plug-in-TR,1,np,12,A bird flies into a wall,fly,0.0
lid-blow-off-IN,0,cs,59,A part of the object flew away.,fly,0.0
approach-coatrack-IN,0,np,6,an object flying towards a wall,fly,0.0
car-pass-tower-IN,0,rv,16,A plane is flying.,fly,0.0
spray-shaving-cream-TR,1,cs,74,A bird is flying next to a wall.,fly,0.0
balloon-deflate-IN,0,np,8,Flies are flying towards food.,fly,0.0
spray-shaving-cream-TR,1,cs,8,A fly is flying toward the food.,fly,0.0
hanger-swing-IN,0,cm,8,A person is flying a kite.,fly,1.0
paper-drop-IN,0,np,8,A piece of paper is flying in the air.,fly,0.0
toy-crawl-IN,0,cs,8,An insect is flying away.,fly,0.0
hit-balloon-TR,1,cs,4,The train flew right by.,fly,0.0
poster-roll-up-IN,0,cs,70,A stationary object flies away.,fly,0.0
toy-crawl-IN,0,cs,70,An insect flies away.,fly,0.0
cards-scatter-IN,0,rv,48,A swarm of insects fly by.,fly,0.0
hanger-swing-IN,0,cs,84,A creepy bat flies around,fly,0.0
racecar-into-box-IN,0,rv,84,A bird flies back to its nest,fly,0.0
coatrack-approach-IN,0,ho,84,An object flies across the sky,fly,0.0
shaving-cream-spray-IN,0,cm,84,An object flies out of another one,fly,0.0
cards-scatter-IN,0,ip,84,Birds fly down from a tree,fly,0.0
racecar-into-box-IN,0,cm,84,An object flies into another and knocks it,fly,0.0
racecar-into-box-IN,0,ho,87,A bee flies into a wall.,fly,0.0
car-pass-tower-IN,0,ho,11,A bird flew away.,fly,0.0
paper-airplane-land-IN,0,np,15,A shot bird flies down to the ground haphazardly.,fly,0.0
racecar-into-box-IN,0,rv,15,A plane flies into a wall.,fly,0.0
plug-in-TR,1,ip,15,A moth flies straight to a burning bulb.,fly,0.0
toy-crawl-IN,0,np,15,A drunk bird flies off unsteadily.,fly,0.0
ball-roll-IN,0,cs,67,A bird flies away.,fly,0.0
approach-coatrack-IN,0,cs,67,An airplane flies by.,fly,0.0
walk-backwards-IN,0,cs,18,Something is flying through the air.,fly,0.0
poster-roll-up-IN,0,cs,18,A bird is flying away.,fly,0.0
toy-crawl-IN,0,cs,18,A scary bug is flying around.,fly,0.0
coatrack-approach-IN,0,rv,18,Something is flying through the sky.,fly,0.0
bounce-ball-TR,1,cs,18,Something is flying.,fly,0.0
coatrack-approach-IN,0,cm,18,Something is flying in the air.,fly,0.0
paper-airplane-land-IN,0,rv,18,A bird is flying by.,fly,0.0
ball-roll-IN,0,ip,18,A bird flies through the air.,fly,0.0
lid-blow-off-IN,0,ip,18,Something is flying across the ground.,fly,0.0
approach-coatrack-IN,0,cs,18,Something is flying through the air.,fly,0.0
cards-scatter-IN,0,np,18,Something is flying into the sky,fly,0.0
paper-drop-IN,0,cm,44,A feather is flying from the sky.,fly,0.0
approach-coatrack-IN,0,cs,14,An object flies across in the air.,fly,0.0
toy-crawl-IN,0,np,36,A bird flying away,fly,0.0
cards-scatter-IN,0,ip,2,Some birds are flying towards the ground,fly,0.0
car-pass-tower-IN,0,ip,41,An airplane is flying into an airport.,fly,0.0
roll-out-TR,1,np,41,An object is flying forward.,fly,0.0
approach-coatrack-IN,0,cs,41,A object flying in the air,fly,0.0
hit-balloon-TR,1,cs,41,An object flew across the space.,fly,0.0
toy-crawl-IN,0,cs,42,Bats fly away.,fly,0.0
toy-crawl-IN,0,cs,71,A bird flies away.,fly,0.0
approach-coatrack-IN,0,np,71,A bird flies towards a skyscraper.,fly,0.0
ball-hit-waterbottle-TR,1,ip,71,A golf ball flies in to complete a hole in one.,fly,0.0
poster-roll-up-IN,0,cs,13,Butterfly flying off of a tree branch.,fly,0.0
lid-blow-off-IN,0,np,13,Bird flying off of a branch.,fly,0.0
lid-blow-off-IN,0,cs,13,Bird flying out of a nest.,fly,0.0
walk-backwards-IN,0,cs,13,Airplane flying across the sky.,fly,0.0
cards-scatter-IN,0,ip,13,Flock of birds flying together.,fly,0.0
approach-coatrack-IN,0,cs,23,Person acting out a plane flying,fly,0.0
cards-scatter-IN,0,cm,23,A bird is flying away.,fly,0.0
cards-scatter-IN,0,np,23,Confetti was flying out all over the place from the box.,fly,0.0
ball-roll-IN,0,ip,80,A bug is flying.,fly,0.0
walk-backwards-IN,0,cs,91,A person is flying a kite.,fly,1.0
person-bend-over-IN,0,np,91,A person is describing a flying bug.,fly,0.0
toy-crawl-IN,0,cs,91,A person is describing the rain.,fly,0.0
coatrack-approach-IN,0,cm,91,A person is flying on a plane.,fly,0.0
paper-airplane-land-IN,0,cm,91,A person is flying.,fly,0.0
paper-airplane-land-IN,0,cs,91,A person is flying a plane.,fly,0.0
approach-coatrack-IN,0,cs,91,A person is flying on an airplane.,fly,0.0
box-move-IN,0,ho,71,A UFO flies off after abducting someone.,"fly,abduct",0.5
ball-hit-waterbottle-TR,1,ip,41,An object flew into the room and then burst on the floor.,"fly,burst",0.0
racecar-into-box-IN,0,rv,16,Something flies and collides into something.,"fly,collide",0.0
paper-airplane-land-IN,0,ip,17,An object is flying and crash lands to the ground.,"fly,crash",0.0
ball-hit-waterbottle-TR,1,cm,14,"A fast-moving object flies down at an angle and crashes into another object, propelling it downward.","fly,crash,propel",0.3333333333
ball-hit-waterbottle-TR,1,cs,26,Plane flying into a building and exploding.,"fly,explode",0.0
hit-bottle-with-ball-TR,1,cm,12,"An object flies into another object, knocking it over","fly,knock",0.5
racecar-into-box-IN,0,cm,84,An object flies into another and knocks it,"fly,knock",0.5
ball-hit-waterbottle-TR,1,np,18,A ball flies through the air and knocks something down.,"fly,knock",0.5
ball-hit-waterbottle-TR,1,ip,13,An object flying through the sky and knocking another one down.,"fly,knock",0.5
hit-bottle-with-ball-TR,1,np,80,An object flies into something and knocks it over.,"fly,knock",0.5
shaving-cream-spray-IN,0,cs,70,A insect flies and then lands on a surface.,"fly,land",0.0
balloon-deflate-IN,0,np,17,A butterfly flies and then lands.,"fly,land",0.0
approach-coatrack-IN,0,cs,13,Bird flying then landing.,"fly,land",0.0
paper-airplane-land-IN,0,cm,59,"An object flew up a little, then landed or crashed onto an area.","fly,land,crash",0.0
cards-scatter-IN,0,rv,8,A swarm of insects fly around in circle before leaving the area.,"fly,leave",0.0
racecar-into-box-IN,0,rv,14,An object flies to the right and smashes into a flat wall.,"fly,smash",0.0
ball-hit-waterbottle-TR,1,cs,14,An object flies downward quickly and smashes into a wall.,"fly,smash",0.0
paper-airplane-land-IN,0,cm,87,"A bird flies up into the air, then takes a level course.","fly,take",0.5
picture-shift-IN,0,ho,67,A person focuses a camera.,focus,1.0
picture-shift-IN,0,ho,41,A person focused a camera.,focus,1.0
stick-break-IN,0,ip,12,A foldable surface at a bar countertop is folded flat,fold,1.0
door-microwave-close-IN,0,cs,8,A person is folding clothes.,fold,1.0
measure-book-TR,1,ip,8,A person is folding a blanket.,fold,1.0
taughten-string-TR,1,cm,39,A person is getting ready to fold a towel.,fold,1.0
person-bend-over-IN,0,ip,77,A blanket being folded over.,fold,1.0
stick-break-IN,0,ip,14,A object with two sections folds down onto itself.,fold,0.0
person-bend-over-IN,0,np,14,An object balanced on a central point folds downward into an opposite position.,fold,0.0
reorient-pole-TR,1,ip,13,Folding the sheets on top of a bed.,fold,1.0
stick-break-IN,0,rv,13,Folding an antenna down.,fold,1.0
knock-over-tower-TR,1,ho,91,A person is folding clothes.,fold,1.0
car-pass-tower-IN,0,ho,91,A person is folding clothes.,fold,1.0
roll-out-TR,1,rv,91,A person is folding clothes.,fold,1.0
tear-paper-TR,1,ip,6,folding something then tearing it,"fold,tear",1.0
box-move-IN,0,ip,41,A person is following a line.,follow,1.0
fan-turn-IN,0,ip,91,A person is following a sports game.,follow,1.0
coatrack-approach-IN,0,ip,91,A person is following another person.,follow,1.0
close-microwave-door-TR,1,np,71,A man forces a door closed.,force,1.0
push-toy-in-box-TR,1,rv,84,Something is being forced to stay on the ground,"force,stay",0.5
balloon-deflate-IN,0,np,82,Two rain clouds are forming together.,form,0.0
balloon-deflate-IN,0,np,39,Thunder clouds form during a storm.,form,0.0
balloon-deflate-IN,0,ho,36,An object is formed with someones hands,form,1.0
picture-shift-IN,0,rv,14,An object is framed between two hands and then made to swing back and forth thrice.,"frame,make,swing",0.6666666667
turn-fan-TR,1,ip,42,A person freshens from a wash basin and adjusts it.,"freshen,adjust",0.5
toy-crawl-IN,0,np,16,A horse is galloping.,gallop,0.0
toy-crawl-IN,0,np,27,A horse is galloping away.,gallop,0.0
march-IN,0,np,67,A jockey gallups his horse.,gallup,1.0
tower-fall-IN,0,rv,15,A pitchfork is gathering hay and moving it.,"gather,move",1.0
fizzle-down-IN,0,cm,39,Clouds gather and it begins to rain.,"gather,rain",0.0
move-box-TR,1,ho,79,A delicate or expensive item was carefully gotten out.,get,1.0
dip-finger-in-jar-TR,1,cm,16,A man is getting the last bit of peanut butter out of the jar.,get,1.0
balloon-deflate-IN,0,rv,8,People are getting together.,get,0.0
crush-can-TR,1,ho,8,A couple is getting married.,get,0.0
dip-finger-in-jar-TR,1,cs,15,Someone gets some lube on their pinky ready for hanky panky.,get,1.0
push-button-microwave-TR,1,ho,67,A person gets an infection.,get,1.0
cards-scatter-IN,0,rv,18,Someone is getting into a fight.,get,0.0
dip-finger-in-jar-TR,1,cs,39,A person is getting a pickle out of a jar.,get,1.0
dip-finger-in-jar-TR,1,cm,88,The person is getting a cream out of a jar.,get,1.0
shaving-cream-spray-IN,0,np,41,A person getting more of an object,get,1.0
reorient-pole-TR,1,np,41,A person is getting onto a motorcycle.,get,0.0
balloon-deflate-IN,0,rv,41,An object getting smaller,get,0.0
hit-bottle-with-ball-TR,1,cs,42,A person gets knocked out.,get,1.0
fizzle-down-IN,0,cs,89,A person getting something out of a bowl.,get,1.0
shaving-cream-spray-IN,0,np,71,Someone gets a spanking.,get,1.0
door-microwave-close-IN,0,np,71,Someone is getting a spanking.,get,1.0
bounce-ball-TR,1,ho,71,A person gets a spanking.,get,1.0
lid-blow-off-IN,0,cm,23,A person getting rid of an annoying object or person,get,0.0
shaving-cream-spray-IN,0,np,23,Person getting more money,get,1.0
door-microwave-close-IN,0,rv,23,A person getting more of something,get,1.0
reorient-pole-TR,1,np,23,A person getting on a motorcycle,get,0.0
poster-roll-up-IN,0,ip,23,A person getting to the finish line fast,get,0.0
turn-fan-TR,1,ho,23,A person wanting to get a better view,get,1.0
roll-out-TR,1,ip,23,A person getting a message,get,1.0
hit-balloon-TR,1,ho,91,A person is getting dressed.,get,0.0
hit-bottle-with-ball-TR,1,cs,18,Someone got in a fight when they were drunk.,"get,be",0.0
balloon-deflate-IN,0,cs,41,An object got smaller as it came together.,"get,come",0.0
racecar-into-box-IN,0,ip,26,A person getting in a car and driving away.,"get,drive",0.5
stick-break-IN,0,ho,41,An object is getting weaker and falling over.,"get,fall",0.0
tape-measurer-bend-half-IN,0,ip,78,The person is getting an object from a high shelf which is slowly lowered.,"get,lower",1.0
pull-out-measuring-tape-TR,1,cm,60,A person is getting ready to measure.,"get,measure",0.0
take-keys-out-of-box-TR,1,ip,42,A person gets a key and opens the lock.,"get,open",1.0
whirly-gig-drop-IN,0,ip,78,The person is trying to get something from a high shelf which is accidentally pushed off and falls down to the ground.,"get,push,fall",0.6666666667
put-book-on-side-TR,1,ip,79,They got a food item off of a tray and put it on their plate.,"get,put",1.0
push-button-microwave-TR,1,np,8,A person gets an object and then he spins it.,"get,spin",1.0
walk-backwards-IN,0,np,78,The person is getting in to position to throw a football.,"get,throw",0.5
take-keys-out-of-box-TR,1,ip,8,A person gets a key and unlocks the door.,"get,unlock",1.0
roll-out-TR,1,rv,26,A person giving somebbody a massage.,give,1.0
fizzle-down-IN,0,cs,12,A massage is given to someone,give,1.0
roll-out-TR,1,cm,12,A back massage is given to someone,give,1.0
roll-out-TR,1,ip,12,A back massage is given,give,1.0
put-cup-on-coaster-TR,1,cm,12,Someone gives someone else an ice cream cone,give,1.0
light-turn-on-IN,0,cm,12,Someone gives a high-five,give,1.0
hit-bottle-with-ball-TR,1,cs,16,"A woman gives someone a ""way to go"" punch on the arm.",give,1.0
drop-ball-TR,1,cs,8,A person is giving someone a surprise gift.,give,1.0
ball-bounce-IN,0,cm,70,A person gives directions by pointing up and down.,give,1.0
push-button-microwave-TR,1,ip,70,A person gives directions by pointing.,give,1.0
roll-out-TR,1,np,84,A person is giving a massage,give,1.0
push-button-microwave-TR,1,ho,78,The person is giving an injection.,give,1.0
roll-out-TR,1,cs,78,The person is giving a massage.,give,1.0
roll-out-TR,1,ip,67,A person give a gentle massage.,give,1.0
roll-out-TR,1,cs,67,A person gives a gentle massage.,give,1.0
put-cup-on-coaster-TR,1,cm,18,A person is giving something away.,give,1.0
push-button-microwave-TR,1,ho,18,A person gives someone a shot.,give,1.0
put-cup-on-coaster-TR,1,ho,39,A person gives a child a single balloon on a string.,give,1.0
push-button-microwave-TR,1,ho,42,A person is being given a shot.,give,1.0
roll-out-TR,1,cm,71,A man is giving a massage.,give,1.0
fizzle-down-IN,0,cm,71,A man giving a head massage.,give,1.0
put-cup-on-coaster-TR,1,cm,23,Person giving everything they have,give,1.0
push-button-microwave-TR,1,ip,80,A person is giving directions.,give,1.0
roll-out-TR,1,cm,91,A person is giving a massage.,give,1.0
roll-out-TR,1,ip,91,A person is giving a massage.,give,1.0
push-button-microwave-TR,1,ip,8,A person gives someone a direction on where to go.,"give,go",0.5
walk-backwards-IN,0,cs,6,an object gliding across slowly,glide,0.0
ball-roll-IN,0,cs,15,Water spiders glide along the top of water.,glide,0.0
paper-airplane-land-IN,0,rv,41,A person is gliding across a skate rink.,glide,0.0
whirly-gig-drop-IN,0,rv,26,Water going down the drain.,go,0.0
plug-in-TR,1,cs,26,Magnets going towards each other.,go,0.0
balloon-deflate-IN,0,cs,26,Water going down a waterfall.,go,0.0
bread-spin-IN,0,np,26,Water going down the drains.,go,0.0
push-button-microwave-TR,1,np,26,Water going down the drain.,go,0.0
roll-out-TR,1,cm,26,Waves going across the beach.,go,0.0
bread-spin-IN,0,cm,26,Water going down a drainage.,go,0.0
balloon-deflate-IN,0,cm,26,Fire on a candle going out.,go,0.0
hit-balloon-TR,1,ho,79,Something went through a hole.,go,0.0
person-bend-over-IN,0,rv,12,A giraffe goes to sleep,go,0.0
picture-shift-IN,0,ho,16,A painting goes crooked.,go,0.0
person-bend-over-IN,0,np,16,The sun is going down.,go,0.0
paper-airplane-land-IN,0,cs,81,GOING TOWARDS AN OBJECT,go,0.0
car-pass-tower-IN,0,cs,74,A train is going by.,go,0.0
tape-measurer-bend-half-IN,0,ip,8,An airplane goes up then down.,go,0.0
fan-turn-IN,0,np,8,A car is going forward then backward.,go,0.0
fizzle-down-IN,0,ho,8,An insect is going under the ground.,go,0.0
march-IN,0,cs,8,A person is going up and down on strairs.,go,0.0
picture-shift-IN,0,cs,8,A person is going up and down.,go,0.0
shaving-cream-spray-IN,0,cm,8,A person is telling someone to go away.,go,0.0
toy-appear-in-box-IN,0,cm,4,The space ship went up into space.,go,0.0
shaving-cream-spray-IN,0,ip,4,She wanted the object to go in.,go,0.0
hanger-swing-IN,0,cm,4,The swing is going back and forth.,go,0.0
paper-airplane-land-IN,0,cm,4,The roller coaster is going down the hill.,go,0.0
paper-airplane-land-IN,0,cs,4,The object when down the slope.,go,0.0
racecar-into-box-IN,0,ip,84,A train going through a tunnel,go,0.0
shaving-cream-spray-IN,0,rv,84,A firework doesn't fully go off,go,0.0
toy-appear-in-box-IN,0,cm,84,A skateboarder goes up a ramp,go,0.0
shaving-cream-spray-IN,0,ho,87,A spider goes down a silk line.,go,0.0
tape-measurer-bend-half-IN,0,ip,56,A person is showing the sun going down in the sky.,go,0.0
hanger-swing-IN,0,np,52,Person is saying love is going away.,go,0.0
cards-scatter-IN,0,np,52,Person is showing something went far away.,go,0.0
person-bend-over-IN,0,cm,15,A windshield wiper is going down.,go,0.0
ball-bounce-IN,0,cm,15,A spring goes up and down.,go,0.0
picture-shift-IN,0,rv,67,A teeter-totter goes back and forth.,go,0.0
poster-roll-up-IN,0,ho,18,Something is going down a road.,go,0.0
bread-spin-IN,0,ip,18,Liquid is going down the drain.,go,0.0
push-toy-in-box-TR,1,cm,18,Something is going lower.,go,0.0
push-toy-in-box-TR,1,np,18,Something goes down into a hole.,go,0.0
car-pass-tower-IN,0,ho,18,Someone is going around an area.,go,0.0
toy-appear-in-box-IN,0,ho,18,A person is going under shelter.,go,0.0
ball-drop-IN,0,np,18,A spider is going up and down on its web.,go,0.0
march-IN,0,cs,39,A carnival ride is going up and down as well as to the side.,go,0.0
coatrack-approach-IN,0,np,39,An elevator is going down and sideways.,go,0.0
tape-measurer-bend-half-IN,0,ip,39,A roller coaster is going down a hill.,go,0.0
fizzle-down-IN,0,np,41,An animal going into the ground,go,0.0
ball-drop-IN,0,cs,41,A burst of wind went through a room.,go,0.0
coatrack-approach-IN,0,ip,41,A person showing something going a a steady pace,go,0.0
toy-crawl-IN,0,cm,41,A person going about their business,go,0.0
light-turn-on-IN,0,cm,42,Money goes up in a puff of smoke.,go,0.0
march-IN,0,cs,71,An amusement park ride goes up and down.,go,0.0
light-turn-on-IN,0,ho,71,A sprinkler goes off over a flame.,go,0.0
coatrack-approach-IN,0,rv,71,The sun goes across the sky.,go,0.0
move-box-TR,1,ip,71,A train is going down the  countryside.,go,0.0
cards-scatter-IN,0,cm,71,And the story goes on and on.,go,0.0
coatrack-approach-IN,0,ip,71,The train goes across the countryside in the distance.,go,0.0
car-pass-tower-IN,0,cm,71,A car going down the road.,go,0.0
whirly-gig-drop-IN,0,cm,71,Something is going down the drain.,go,0.0
pop-balloon-TR,1,cm,71,An explosion goes off.,go,0.0
box-move-IN,0,cm,28,Something is going along a conveyor belt.,go,0.0
bread-spin-IN,0,rv,13,Water going around the drain in a sink.,go,0.0
fizzle-down-IN,0,cs,23,Person going threw items,go,0.0
poster-roll-up-IN,0,cs,23,A person saying they have to go,go,0.0
ball-roll-IN,0,rv,23,Person action out time goes on,go,0.0
car-pass-tower-IN,0,ip,23,Person acting out going by,go,0.0
march-IN,0,cm,23,A person just going through the motions,go,0.0
fan-turn-IN,0,ho,23,A person showing time goes on fast,go,0.0
hanger-swing-IN,0,cm,23,A bell going back and forth,go,0.0
car-pass-tower-IN,0,cm,23,An object going at a fast rate,go,0.0
coatrack-approach-IN,0,ip,23,A person showing that something is going slow,go,0.0
tape-measurer-bend-half-IN,0,ho,91,A person is going to sleep.,go,0.0
book-fall-over-IN,0,ho,91,A person is going to sleep.,go,0.0
person-bend-over-IN,0,np,0,He is demonstrating the sun going all the way down.,go,0.0
tape-measurer-bend-half-IN,0,ho,0,She is demonstrating the sun going down.,go,0.0
paper-airplane-land-IN,0,cm,70,An object goes over an incline and is then horizontal.,"go,be",0.0
ball-hit-waterbottle-TR,1,ho,8,An object went into a container and bounced out.,"go,bounce",0.0
knock-over-tower-TR,1,ho,26,A car going through and crashing in a tunnel.,"go,crash",0.0
take-keys-out-of-box-TR,1,rv,16,A spider goes up the web then crawls.,"go,crawl",0.0
light-turn-on-IN,0,cm,23,An object went into the air and exploded.,"go,explode",0.0
march-IN,0,cs,6,an object going up and down as another object moves across,"go,move",0.0
fan-turn-IN,0,cm,19,A person is describing how other people are gossiping and spreading rumors.,"gossip,spread",0.5
cards-scatter-IN,0,rv,59,A person is trying to grab something in the air.,grab,1.0
hit-bottle-with-ball-TR,1,rv,42,A person grabs for something.,grab,1.0
hit-bottle-with-ball-TR,1,rv,23,A person grabbing an object fast,grab,1.0
turn-fan-TR,1,cs,23,A person is grabbing something from someone else.,grab,1.0
break-stick-TR,1,cm,70,A person grabs a rod and bends the ends downward.,"grab,bend",1.0
break-stick-TR,1,cm,14,An object is grabbed from opposite sides and bent in half.,"grab,bend",1.0
break-stick-TR,1,cs,14,A small thin object is grabbed from either side and bent downward.,"grab,bend",1.0
break-stick-TR,1,ip,14,An object is grabbed from opposite sides and then bent forcefully downward.,"grab,bend",1.0
put-book-on-side-TR,1,np,70,A person grabs a cup and empties the cup.,"grab,empty",1.0
hit-bottle-with-ball-TR,1,rv,70,A person attempts to grab something that escapes.,"grab,escape",0.5
reorient-pole-TR,1,cm,4,He grabbed an object at the bottom the at the top and it fell.,"grab,fall",0.5
put-book-on-side-TR,1,rv,59,"An object was grabbed by another object, then flipped on its side.","grab,flip",1.0
spin-bread-TR,1,cs,70,A person grabs an object and flips it over.,"grab,flip",1.0
person-bend-over-IN,0,rv,14,A small object is grabbed and gently folded over onto itself.,"grab,fold",1.0
bounce-ball-TR,1,np,14,"An object is grabbed, held and then bounced repeatedly.","grab,hold,bounce",1.0
bowl-break-IN,0,ip,4,She grabbed an object then let it go and it spilled.,"grab,let,spill",0.6666666667
turn-fan-TR,1,rv,70,A person grabs and slightly moves an object.,"grab,move",1.0
box-move-IN,0,ho,14,A medium-sized object is grabbed and moved slightly upward and to the side.,"grab,move",1.0
reorient-pole-TR,1,ho,14,A pole-shaped object is grabbed and moved to a horizontal position.,"grab,move",1.0
move-box-TR,1,cs,14,A medium-sized object is grabbed and moved from left to right.,"grab,move",1.0
hit-bottle-with-ball-TR,1,rv,36,An object grabbed and moved across a table,"grab,move",1.0
put-cup-on-coaster-TR,1,cs,4,She grabbed the door handle and opened.,"grab,open",0.5
put-book-on-side-TR,1,np,26,A pesron grabbing a bottle and placing it down.,"grab,place",1.0
reorient-pole-TR,1,np,17,A person in a canoe grabs an oar out of the water and places it across his lap.,"grab,place",1.0
put-book-on-side-TR,1,ho,4,She grabbed the cup and poured out the water.,"grab,pour",1.0
put-book-on-side-TR,1,cs,4,She grabbed the drink and poured it.,"grab,pour",1.0
put-book-on-side-TR,1,np,0,He grabbed a cup of water and poured it out.,"grab,pour",1.0
remove-cork-TR,1,cs,27,Grab the top and pull it down to the side.,"grab,pull",1.0
ball-drop-IN,0,ip,14,An object is grabbed and pulled down from above.,"grab,pull",1.0
box-move-IN,0,cs,14,An object is grabbed and pulled backward slowly.,"grab,pull",1.0
box-move-IN,0,cs,36,An object is grabbed and pulled away,"grab,pull",1.0
put-book-on-side-TR,1,cm,71,A woman grabs a man and pulls him down.,"grab,pull",1.0
ball-bounce-IN,0,np,14,An object is grabbed then pulled downward and banged on a surface several times.,"grab,pull,bang",1.0
bowl-break-IN,0,ip,16,A frightened woman grabs someone by the shoulders and pushes them away.,"grab,push",1.0
put-cup-on-coaster-TR,1,cs,14,A thin object is grabbed and pushed forward.,"grab,push",1.0
tape-measurer-bend-half-IN,0,rv,14,An elevated object is grabbed and then pushed downward in an arcing motion.,"grab,push",1.0
hit-bottle-with-ball-TR,1,rv,14,An object is grabbed and pushed to the right.,"grab,push",1.0
ball-drop-IN,0,ho,16,A woman grabs something and puts it in her other hand.,"grab,put",1.0
close-microwave-door-TR,1,cs,4,Grabbing something and putting something in it.,"grab,put",1.0
ball-drop-IN,0,rv,36,An object is grabbed from high and released,"grab,release",1.0
hanger-swing-IN,0,ho,14,An affixed object is grabbed and rotated several times.,"grab,rotate",1.0
hanger-swing-IN,0,rv,14,A hanging object is grabbed and slightly rotated several times.,"grab,rotate",1.0
put-book-on-side-TR,1,ho,26,Grabbing a bottle and setting down on a table.,"grab,set",1.0
put-book-on-side-TR,1,np,14,A cylindrical object is grabbed and then set onto its side.,"grab,set",1.0
put-book-on-side-TR,1,rv,71,A man grabs a board and sets it on the workbench.,"grab,set",1.0
ball-drop-IN,0,ho,97,A person is grabbing a glass from a cupboard and setting it on the counter.,"grab,set",1.0
ball-drop-IN,0,ip,0,She grabbed a can off the top of the cabinet and set it on table.,"grab,set",1.0
shake-shaker-TR,1,ip,14,An object is grabbed and repeatedly slammed downward.,"grab,slam",1.0
hit-balloon-TR,1,ip,14,An object is grabbed from below and then slapped and sent flying.,"grab,slap,send,fly",0.75
ball-bounce-IN,0,ip,36,An object grabbed from high and smashed multiple times,"grab,smash",1.0
ball-drop-IN,0,ho,36,A high object is grabbed and smashed onto a lower object,"grab,smash",1.0
break-stick-TR,1,rv,14,A small object is grabbed from either end and snapped in two.,"grab,snap",1.0
spin-bread-TR,1,cm,14,An object is grabbed and then spun quickly.,"grab,spin",1.0
taughten-string-TR,1,rv,14,An object is grabbed at the center and then stretched apart forcefully.,"grab,stretch",1.0
tear-paper-TR,1,cs,70,A person grabs an object and tears the object apart.,"grab,tear",1.0
light-turn-on-IN,0,np,4,He grabbed the flour and threw it in the air.,"grab,throw",1.0
pop-balloon-TR,1,np,23,A person grabbed an object and then threw it.,"grab,throw",1.0
